created_at,full_text,location,sentiment,clean_text,text_len
2024-04-16 13:33:16+00:00,PENAFIAN berkenaan sistem #PADU yang tular di media sosial. #DOSMPahang #DOSM #Pahang,Pahang,1,penafian berkenaan sistem padu yang tular di media sosial dosmpahang dosm pahang,12
2024-10-30 08:59:05+00:00,BELANJAWAN 2025 KOMITMEN PADU KERAJAAN KURANGKAN HUTANG #MalaysiaMadani #HutangNegara https://t.co/uLt8FDYOEy,Selangor,2,belanjawan 2025 komitmen padu kerajaan kurangkan hutang malaysiamadani hutangnegara,9
2024-01-02 07:24:32+00:00,Bayangkan sebelum ini kalau nak berurusan dengan 3 institusi sektor awam kita perlu isi banyak dokumen berbeza dan bawa berpuluh dokumen sokongan. Tapi maklumat yang diisi hampir sama. Sekarang di bawah Pengkalan Data Utama (PADU) semua data di bawah satu bumbung. https://t.co/hf8iO7H3kf,Selangor,2,bayangkan sebelum ini kalau nak berurusan dengan 3 institusi sektor awam kita perlu isi banyak dokumen berbeza dan bawa berpuluh dokumen sokongan tapi maklumat yang diisi hampir sama sekarang di bawah pengkalan data utama padu semua data di bawah satu bumbung,41
2024-03-31 02:31:05+00:00,Tarikh akhir pada Ahad ini pendaftaran Pangkalan Data Utama (PADU) mendapat sambutan tersangat hangat di pangsapuri Mutiara Fadason Kepong Kuala Lumpur. @JaPenWPKL #PADU #ForKepong https://t.co/Q429fp5NaC,Selangor,1,tarikh akhir pada ahad ini pendaftaran pangkalan data utama padu mendapat sambutan tersangat hangat di pangsapuri mutiara fadason kepong kuala lumpur padu forkepong,23
2024-01-02 02:08:10+00:00,Sedang menunggu Majlis Peluncuran PADU ( Pangkalan Data Utama ) . https://t.co/eY2mVVzlFp,Selangor,1,sedang menunggu majlis peluncuran padu pangkalan data utama,8
2024-11-03 07:49:50+00:00,Tarikh terakhir PADU buat postingnya. Apa terjadi pada pengkalan data utama bawah madani ini ? Di mana tahap kebersanan dia? Apa rekod kemajuan demi ekonomi or sistem data lebih cekap?,Selangor,1,tarikh terakhir padu buat postingnya apa terjadi pada pengkalan data utama bawah madani ini di mana tahap kebersanan dia apa rekod kemajuan demi ekonomi or sistem data lebih cekap,29
2021-06-11 06:31:39+00:00,MITI merupakan nadi utama dalam pengurusan operasi sektor-sektor ekonomi dan memperkenalkan COVID-19 Intelligent Management System di mana ia merupakan pengkalan data komprehensif perniagaan daripada pelbagai sektor. #pmrutcsabahshareinfo #KomunikasiKita #JabatanPenerangan https://t.co/1OnXoC9TRs,Sabah,2,miti merupakan nadi utama dalam pengurusan operasi sektorsektor ekonomi dan memperkenalkan covid19 intelligent management system di mana ia merupakan pengkalan data komprehensif perniagaan daripada pelbagai sektor pmrutcsabahshareinfo komunikasikita jabatanpenerangan,29
2024-01-02 05:36:14+00:00,Bermula 2 Januari 2024 korang boleh mendaftar dan mengemas kini maklumat korang ke dalam sistem Pangkalan Data Utama (PADU). Sistem ini dibuka kepada pengguna sehingga 31 Mac 2024. Sebarkan. Pautan portal PADU: https://t.co/sX3m0EPjRJ : Fahmi Fadzil https://t.co/QqbWgwkjrJ,Selangor,1,bermula 2 januari 2024 korang boleh mendaftar dan mengemas kini maklumat korang ke dalam sistem pangkalan data utama padu sistem ini dibuka kepada pengguna sehingga 31 mac 2024 sebarkan pautan portal padu fahmi fadzil,34
2024-01-02 10:58:16+00:00,Pagi ini saya mengiringi YAB Datuk Seri Utama Ab Rauf bin Yusoh Ketua Menteri Melaka ke Majlis Peluncuran Pengkalan Data Utama (PADU) yang disempurnakan oleh YAB Dato Seri Anwar Ibrahim Perdana Menteri Malaysia di Pusat Konvensyen Antarabangsa Putrajaya (PICC). Seperti yang https://t.co/BkrbJxqsuJ,Selangor,1,pagi ini saya mengiringi yab datuk seri utama ab rauf bin yusoh ketua menteri melaka ke majlis peluncuran pengkalan data utama padu yang disempurnakan oleh yab dato seri anwar ibrahim perdana menteri malaysia di pusat konvensyen antarabangsa putrajaya picc seperti yang,41
2023-10-26 12:30:33+00:00,Progres pembangunan Sistem Pengkalan Data Utama (PADU) sudah mencapai 72% ketika ini menurut Kementerian Ekonomi Usai pelancarannya yg dijangka antara Januari-Mac 2024 sistem PADU akan dibuka buat pengguna bagi membolehkan pengemaskinian maklumat individu https://t.co/NC0ZoZ4Njx,Selangor,2,progres pembangunan sistem pengkalan data utama padu sudah mencapai 72 ketika ini menurut kementerian ekonomi usai pelancarannya yg dijangka antara januarimac 2024 sistem padu akan dibuka buat pengguna bagi membolehkan pengemaskinian maklumat individu,33
2024-06-07 02:42:10+00:00,@imokman Kalau anda mohon bantuan kerajaan akan melakukan SEMAKAN sama ada anda layak atau tidak. PASTI kerajaan akan semak DATA TERKUMPUL YANG MEREKA ADA Macam PENGKALAN DATA UTAMA(PADU)...RIGHT!? maaflah kita tak berlajar luar negara atau TERkoperat but we not that DUMB..,Selangor,0,kalau anda mohon bantuan kerajaan akan melakukan semakan sama ada anda layak atau tidak pasti kerajaan akan semak data terkumpul yang mereka ada macam pengkalan data utamapaduright maaflah kita tak berlajar luar negara atau terkoperat but we not that dumb,40
2024-05-29 10:46:06+00:00,#BudiMadani ini sepatutnya ada dalam #Padu terus. Just click dan sahkan sahaja. Tidak perlu pelbagai sistem bagi sayalah. Jadi kepada yang mahu subsidi tapi belum ada Padu akan terpaksa daftar.,Selangor,0,budimadani ini sepatutnya ada dalam padu terus just click dan sahkan sahaja tidak perlu pelbagai sistem bagi sayalah jadi kepada yang mahu subsidi tapi belum ada padu akan terpaksa daftar,30
2024-11-07 06:08:19+00:00,Data Padu: Wee tuntut penjelasan Rafizi terkilan dituduh 'tipu' https://t.co/cZIrUTQWT9,Selangor,2,data padu wee tuntut penjelasan rafizi terkilan dituduh tipu,9
2024-03-24 01:00:00+00:00,Pasukan Tindak Balas Insiden Keselamatan Siber Sektor Awam (CSIRT) sentiasa siaga lindungi PADU dari sebarang kebocoran maklumat. #Semasa #PADU https://t.co/i1NZV9BhJV,Selangor,2,pasukan tindak balas insiden keselamatan siber sektor awam csirt sentiasa siaga lindungi padu dari sebarang kebocoran maklumat semasa padu,19
2024-03-30 12:20:53+00:00,Mahasiswa Keadilan Malaysia bantu mahasiswa UIA daftarkan PADU! #MahasiswaKeadilan #BekerjaDemiMahasiswa #PADU https://t.co/zlIuGQvSK3,Selangor,1,mahasiswa keadilan malaysia bantu mahasiswa uia daftarkan padu mahasiswakeadilan bekerjademimahasiswa padu,11
2024-02-09 00:51:47+00:00,600 000 penjawat awam mendaftar PADU #MediaSelangor #SelangorTV #SemasaSTV #Selangor #BeritaSelangor #padu #dosm #penjawatawam https://t.co/N3CBw2pES9,Selangor,2,600 000 penjawat awam mendaftar padu mediaselangor selangortv semasastv selangor beritaselangor padu dosm penjawatawam,14
2024-10-25 07:26:34+00:00,Malaysia bentang PADU di Forum Data Doha pelbagai negara sifatkan sistem inklusif https://t.co/bZ1LE891OZ #BERITA #NASIONAL #TERKINI #ArtikelPercuma #PADU,Selangor,1,malaysia bentang padu di forum data doha pelbagai negara sifatkan sistem inklusif berita nasional terkini artikelpercuma padu,17
2024-11-05 00:03:08+00:00,Tanpa kajian menyeluruh dan data tepat pemansuhan subsidi yang sepatutnya kepada golongan mewah dikhuatiri menimpa mereka yang sekadar cukup makan. #Petrol #TimmySay #Subsidi #Padu #T15 https://t.co/vsGiaBts0K,Selangor,1,tanpa kajian menyeluruh dan data tepat pemansuhan subsidi yang sepatutnya kepada golongan mewah dikhuatiri menimpa mereka yang sekadar cukup makan petrol timmysay subsidi padu t15,25
2024-04-01 09:19:28+00:00,17.65 juta profil warganegara telah dikemas kini dalam sistem PADU - Rafizi https://t.co/HzCl26D9DO #BernamaNews #BernamaImages #PADU https://t.co/NxnmseEYuG,Selangor,2,1765 juta profil warganegara telah dikemas kini dalam sistem padu rafizi bernamanews bernamaimages padu,14
